City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Namibe,AO,2021-06-01 23:08:05,-15.1961,12.1522,69.53,87,89,1.81
150,Salalah,OM,2021-06-01 23:08:06,17.0151,54.0924,82.49,83,40,4.61
151,Mollendo,PE,2021-06-01 23:08:06,-17.0231,-72.0147,64.18,88,95,7.18
152,Tres Arroyos,AR,2021-06-01 23:08:06,-38.3739,-60.2798,56.05,67,87,9.93
153,Severo-Kurilsk,RU,2021-06-01 23:08:07,50.6789,156.125,41.25,86,98,7.18
154,Tiznit,MA,2021-06-01 23:08:08,29.5833,-9.5,62.1,74,75,2.68
155,Ostrovnoy,RU,2021-06-01 23:08:08,68.0531,39.5131,43.84,93,100,18.14
156,Castro,BR,2021-06-01 23:08:09,-24.7911,-50.0119,54.05,87,0,1.23
157,Along,IN,2021-06-01 23:08:09,28.1667,94.7667,71.6,98,99,1.05
158,Lethem,GY,2021-06-01 23:08:10,3.3803,-59.7968,77.94,86,72,4.97
159,Kaeo,NZ,2021-06-01 23:08:10,-35.1,173.7833,62.33,80,81,7.43
160,Straelen,DE,2021-06-01 23:08:11,51.45,6.2667,65.73,52,10,6.93
161,Belmonte,BR,2021-06-01 23:08:11,-15.8631,-38.8828,77.5,85,65,6.02
162,Guantanamo,CU,2021-06-01 23:08:12,20.1444,-75.2092,83.77,83,88,2.64
163,Bathsheba,BB,2021-06-01 23:08:13,13.2167,-59.5167,79.41,65,20,13.58
164,Dikson,RU,2021-06-01 23:08:14,73.5069,80.5464,32.67,98,99,8.68
165,Strezhevoy,RU,2021-06-01 23:08:14,60.7333,77.5889,42.78,72,75,5.82
166,Tasiilaq,GL,2021-06-01 23:08:15,65.6145,-37.6368,35.76,73,6,5.61
167,Zonguldak,TR,2021-06-01 23:08:15,41.25,31.8333,45.55,94,7,5.01
168,Mount Isa,AU,2021-06-01 23:08:16,-20.7333,139.5,73.17,46,2,3.44
169,Asau,RO,2021-06-01 23:08:16,46.4333,26.4,51.76,93,100,5.64
170,Khorixas,NA,2021-06-01 23:08:17,-20.3667,14.9667,64.49,22,37,7.67
171,Nan,TH,2021-06-01 23:08:17,18.8333,100.6667,75.22,94,0,0.4
172,Guangyuan,CN,2021-06-01 23:08:18,32.442,105.823,71.26,80,38,2.33
173,Bethel,US,2021-06-01 23:06:38,41.3712,-73.414,74.25,57,100,4.43
174,Carnarvon,AU,2021-06-01 23:08:18,-24.8667,113.6333,61.79,57,84,17.25
175,Barrow,US,2021-06-01 23:08:19,71.2906,-156.7887,32.02,64,90,19.57
176,Iqaluit,CA,2021-06-01 23:04:22,63.7506,-68.5145,31.73,100,90,4.0
177,Vaitape,PF,2021-06-01 23:08:20,-16.5167,-151.75,79.95,69,72,13.27
178,Vao,NC,2021-06-01 23:08:20,-22.6667,167.4833,68.99,58,100,11.92
179,Nikolskoye,RU,2021-06-01 23:08:21,59.7035,30.7861,46.4,75,19,1.57
180,Port Moresby,PG,2021-06-01 23:08:21,-9.4431,147.1797,78.93,72,88,6.91
181,Whitehorse,CA,2021-06-01 23:08:21,60.7161,-135.0538,68.02,29,12,24.0
182,Zabol,AF,2021-06-01 23:08:22,32.25,67.25,67.84,16,0,5.41
183,Mahebourg,MU,2021-06-01 23:08:22,-20.4081,57.7,74.25,72,73,15.03
184,Kahului,US,2021-06-01 23:08:23,20.8947,-156.47,87.82,64,20,21.85
185,Canto Do Buriti,BR,2021-06-01 23:08:23,-8.11,-42.9444,82.44,37,96,4.79
186,Norman Wells,CA,2021-06-01 23:08:24,65.282,-126.8329,43.47,90,100,8.39
187,San Cristobal,VE,2021-06-01 23:08:24,7.7669,-72.225,73.58,98,100,1.23
188,Tungor,RU,2021-06-01 23:08:25,53.3808,142.9564,56.48,68,69,9.69
189,Oulainen,FI,2021-06-01 23:08:25,64.2667,24.8,44.26,73,49,2.71
190,Kodiak,US,2021-06-01 23:08:25,57.79,-152.4072,47.71,81,90,14.97
191,Salaya,IN,2021-06-01 23:08:26,22.3167,69.6,82.17,81,3,12.8
192,Klaksvik,FO,2021-06-01 23:08:26,62.2266,-6.589,49.12,87,100,14.29
193,Constitucion,CL,2021-06-01 23:08:27,-35.3333,-72.4167,58.37,99,100,1.25
194,Birao,CF,2021-06-01 23:08:27,10.2849,22.7882,75.56,73,100,9.48
195,Faya,SA,2021-06-01 23:08:28,18.3851,42.4509,70.32,18,1,9.22
196,Weligama,LK,2021-06-01 23:08:29,5.9667,80.4167,79.38,85,41,11.59
197,Churapcha,RU,2021-06-01 23:08:29,62.0025,132.4325,60.17,50,3,4.27
198,Sorong,ID,2021-06-01 23:08:24,-0.8833,131.25,76.75,94,90,5.86
