City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Pevek,RU,69.7008,170.3133,34.59,74,67,2.21,broken clouds
241,Kiunga,PG,-6.1219,141.2906,73.51,100,100,0.81,overcast clouds
242,Richards Bay,ZA,-28.783,32.0377,62.08,69,100,20.11,light rain
243,Russell,US,32.3502,-85.1999,87.15,37,1,6.78,clear sky
244,Vardo,NO,70.3705,31.1107,55.6,63,20,12.28,few clouds
245,Keetmanshoop,NA,-26.5833,18.1333,56.32,41,0,6.91,clear sky
246,Toora-Khem,RU,52.4675,96.11,51.75,76,43,1.43,scattered clouds
247,Lorengau,PG,-2.0226,147.2712,79.92,77,100,1.45,overcast clouds
248,Constitucion,CL,-35.3333,-72.4167,60.15,85,100,9.35,overcast clouds
249,Hokitika,NZ,-42.7167,170.9667,49.86,79,91,5.1,light rain
250,Harper,LR,4.375,-7.7169,79.72,83,100,6.4,overcast clouds
251,Brae,GB,60.3964,-1.353,51.71,90,25,12.91,scattered clouds
252,Altay,CN,47.8667,88.1167,67.33,44,37,2.86,scattered clouds
253,Doha,QA,25.2867,51.5333,94.98,41,0,5.75,clear sky
254,Stoicanesti,RO,44.1833,24.6333,65.82,72,100,4.29,overcast clouds
255,Beringovskiy,RU,63.05,179.3167,34.95,82,94,4.09,overcast clouds
256,Semme,FR,46.1963,1.5007,68.41,94,77,2.1,broken clouds
257,Mehran,IR,33.1222,46.1646,83.68,12,0,11.43,clear sky
258,Cascais,PT,38.6979,-9.4215,60.66,63,20,15.99,few clouds
259,Itum-Kale,RU,42.7356,45.5758,55.9,95,78,1.03,broken clouds
260,Ossora,RU,59.2353,163.0719,48.07,64,8,3.83,clear sky
261,Ukiah,US,39.1502,-123.2078,101.03,22,1,14.97,clear sky
262,Wichita Falls,US,33.9137,-98.4934,85.41,48,40,5.01,scattered clouds
263,Galesong,ID,-5.3166,119.3661,73.42,77,50,4.72,scattered clouds
264,Bardiyah,LY,31.7561,25.0865,69.46,67,0,5.46,clear sky
265,Rio Grande,BR,-32.035,-52.0986,60.91,67,1,8.66,clear sky
266,Camana,PE,-16.6228,-72.7111,66.06,75,93,3.94,overcast clouds
267,Gamba,GA,-2.65,10.0,75.92,92,4,5.06,clear sky
268,Pacific Grove,US,36.6177,-121.9166,82.17,78,20,4.0,few clouds
269,Wuchang,CN,44.9143,127.15,51.01,83,100,13.13,overcast clouds
270,Hervey Bay,AU,-25.2986,152.8535,66.04,87,100,10.67,overcast clouds
271,Shelburne,CA,44.0787,-80.2041,73.11,66,81,7.23,broken clouds
272,Margate,GB,51.3813,1.3862,64.69,74,19,10.47,few clouds
273,Ilhabela,BR,-23.7781,-45.3581,70.84,90,14,5.03,few clouds
274,Guantanamo,CU,20.1444,-75.2092,82.83,71,93,6.58,overcast clouds
275,Nanortalik,GL,60.1432,-45.2371,36.81,88,100,13.15,overcast clouds
276,Dehloran,IR,32.6941,47.2679,92.46,9,0,9.13,clear sky
277,Beidao,CN,34.5686,105.8933,53.89,36,72,3.15,broken clouds
278,Lata,PT,40.1629,-8.3327,59.04,85,0,4.52,clear sky
279,Weligama,LK,5.9667,80.4167,78.78,88,100,12.26,overcast clouds
280,Rafaela,AR,-31.2503,-61.4867,69.98,35,0,1.99,clear sky
281,Pionerskiy,RU,54.9508,20.2275,55.24,81,88,5.5,overcast clouds
282,Sahbuz,AZ,39.4072,45.5739,67.6,45,0,3.71,clear sky
283,College,US,64.8569,-147.8028,69.01,36,75,8.05,broken clouds
284,Capreol,CA,46.706,-80.9225,73.9,52,40,3.0,scattered clouds
285,Lompoc,US,34.6391,-120.4579,86.77,67,40,5.99,scattered clouds
286,Zyryanka,RU,65.75,150.85,62.78,39,7,15.59,clear sky
287,Hudson Bay,CA,52.85,-102.3842,86.05,34,85,8.5,overcast clouds
288,Port Macquarie,AU,-31.4333,152.9167,55.36,86,4,8.41,clear sky
289,Bethel,US,41.3712,-73.414,73.51,85,90,1.01,overcast clouds
290,Ardakan,IR,32.31,54.0175,95.38,8,35,8.95,scattered clouds
291,Dunedin,NZ,-45.8742,170.5036,50.81,76,100,1.01,overcast clouds
292,Okato,NZ,-39.2,173.8833,43.43,85,83,2.46,broken clouds
293,Gravdal,NO,68.1214,13.5031,53.28,75,6,2.48,clear sky
294,Zhigalovo,RU,54.8097,105.1578,54.37,63,1,2.04,clear sky
295,Ahuimanu,US,21.4447,-157.8378,83.91,59,75,9.22,broken clouds
296,Manzil Salim,TN,35.8567,8.4765,68.0,66,73,6.71,broken clouds
297,Miri,MY,4.4148,114.0089,80.74,94,20,4.38,few clouds
298,Myitkyina,MM,25.3833,97.4,73.72,97,49,0.29,scattered clouds
299,Thaba-Tseka,LS,-29.522,28.6084,25.02,94,80,3.31,broken clouds
300,Sinnamary,GF,5.3833,-52.95,79.63,87,95,10.6,overcast clouds
301,Atar,MR,20.5169,-13.0499,95.18,23,90,16.08,overcast clouds
302,Jumla,NP,29.2747,82.1838,53.8,86,0,3.24,clear sky
303,Pimenta Bueno,BR,-11.6725,-61.1936,82.49,65,11,4.18,few clouds
304,Dodola,ET,6.9833,39.1833,55.33,78,89,0.49,overcast clouds
305,Grenfell,AU,-33.9,148.1667,46.56,93,97,10.25,overcast clouds
306,Pisco,PE,-13.7,-76.2167,66.25,77,20,10.36,few clouds
307,Bengkulu,ID,-3.8004,102.2655,76.66,91,88,2.66,overcast clouds
308,Murdochville,CA,48.9583,-65.5006,70.68,78,100,12.06,overcast clouds
309,Norman Wells,CA,65.282,-126.8329,53.64,76,90,9.22,overcast clouds
310,Karpathos,GR,35.507,27.2132,67.3,73,0,15.93,clear sky
311,Tura,IN,25.5198,90.2201,74.21,91,1,4.9,clear sky
312,Tabou,CI,4.423,-7.3528,79.63,84,100,7.11,overcast clouds
313,Port Hedland,AU,-20.3167,118.5667,64.45,63,75,13.8,broken clouds
314,Zhigansk,RU,66.7697,123.3711,61.61,49,100,4.81,overcast clouds
315,Hangu,CN,39.2489,117.7892,69.84,32,0,10.85,clear sky
316,Camocim,BR,-2.9022,-40.8411,80.56,76,13,13.22,few clouds
317,Puerto Escondido,MX,15.85,-97.0667,86.63,66,35,7.09,scattered clouds
318,Wattegama,LK,6.7989,81.4808,75.36,94,96,4.43,overcast clouds
319,Lesnyye Polyany,RU,55.9667,37.8667,57.52,78,38,9.75,scattered clouds
320,Swellendam,ZA,-34.0226,20.4417,48.58,65,100,3.2,overcast clouds
321,Shache,CN,38.4167,77.2406,73.18,29,92,7.27,overcast clouds
322,Kutum,SD,14.2,24.6667,86.09,15,96,14.67,overcast clouds
323,Corrente,BR,-3.7367,-43.3394,80.1,71,96,2.98,overcast clouds
324,Grindavik,IS,63.8424,-22.4338,51.75,81,90,33.6,overcast clouds
325,Miles City,US,46.4083,-105.8406,97.52,19,1,0.0,clear sky
326,Novyy Urgal,RU,51.0736,132.5642,50.61,98,100,2.86,overcast clouds
327,Alappuzha,IN,9.49,76.3264,81.43,81,100,10.11,light rain
328,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,54.19,54,20,12.62,few clouds
329,Port-Gentil,GA,-0.7193,8.7815,78.76,89,40,11.5,scattered clouds
330,Klaksvik,FO,62.2266,-6.589,52.72,92,84,18.57,broken clouds
331,Labrea,BR,-7.2586,-64.7981,90.0,46,6,1.95,clear sky
332,Aksay,RU,47.26,39.87,60.26,94,2,4.0,clear sky
333,Itarema,BR,-2.9248,-39.9167,79.92,72,11,15.19,few clouds
334,Antofagasta,CL,-23.65,-70.4,61.88,74,38,3.02,scattered clouds
335,Chitral,PK,35.8462,71.7858,69.66,39,0,7.23,clear sky
336,Ancud,CL,-41.8697,-73.8203,53.42,89,100,9.55,light rain
337,Roald,NO,62.5833,6.1333,64.45,63,0,6.91,clear sky
338,Yenotayevka,RU,47.2456,47.0281,64.44,68,0,15.57,clear sky
339,Palu,ID,-0.8917,119.8707,74.48,89,86,3.33,overcast clouds
340,Khandyga,RU,62.6667,135.6,59.32,36,66,2.28,broken clouds
341,Mandalgovi,MN,45.7625,106.2708,48.83,66,0,4.65,clear sky
342,Suntar,RU,62.1444,117.6319,62.91,56,50,4.21,scattered clouds
343,Praia Da Vitoria,PT,38.7333,-27.0667,65.75,68,40,7.72,scattered clouds
344,Okhotsk,RU,59.3833,143.3,40.87,85,1,4.47,clear sky
345,Millinocket,US,45.6573,-68.7098,69.91,67,90,8.05,overcast clouds
346,Bubaque,GW,11.2833,-15.8333,78.51,76,73,19.91,broken clouds
347,Prince George,CA,53.9166,-122.753,71.26,38,40,1.99,scattered clouds
